Run,Assay Type,BioProject,BioSample,Center Name,collection_date,Consent,Experiment,geo_loc_name_country,geo_loc_name_country_continent,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,AvgSpotLen,Bases,Bytes,DATASTORE filetype,DATASTORE provider,DATASTORE region,BioSampleModel,geo_loc_name,isolation_source,ww_population,ww_sample_duration,ww_sample_matrix,ww_sample_type,ww_surv_target_1_known_present,ww_surv_target_1,collected_by,purpose_of_ww_sampling,sequenced_by,ww_processing_protocol,ww_sample_site,ww_surv_jurisdiction,ww_surv_system_sample_id,collection_date (run),geo_loc_name (run),isolation_source (run),organism (run),ww_population (run),ww_sample_duration (run),ww_sample_matrix (run),ww_sample_type (run),ww_surv_target_1 (run),sewage_type,lat_lon,ENA-FIRST-PUBLIC (run),ena_first_public,ENA-LAST-UPDATE (run),ena_last_update,External_Id,geographic_location_(country_and/or_sea),INSDC_center_alias,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,investigation_type,Sample_Name,Submitter_Id,geographic_location_(region_and_locality),isolate,SRA_accession,Title,name_of_the_sampling_site,note (run),wastewater_type,samp_collect_device,common_name,environment_(biome),environment_(feature),environment_(material),geographic_location_(latitude),geographic_location_(longitude),project_name,run_date (run),Sequencing_method,wastewater/sludge_environmental_package,Host,biotic_relationship,env_broad_scale,env_local_scale,env_medium,estimated_size,samp_mat_process,samp_size,samp_vol_we_dna_ext,size_frac,source_uvig,virus_enrich_appr,amplicon_size,epi_week,sequencing_platform,seuqncing_date,wwtp,Strain,collecting_institution,collector_name,host_common_name,host_health_state,host_scientific_name,host_sex,host_subject_id,sample_capture_status,passage_history,collected_by (run),Host_disease,biochem_oxygen_dem,chem_oxygen_dem,lab_host,collection_method,ref_biomaterial,Genotype
ERR5019960,AMPLICON,PRJEB42191,SAMEA7742607,BANGOR UNIVERSITY,2020-05-11,public,ERX4828630,United Kingdom,Europe,Illumina MiSeq,unspecified,SINGLE,RT-PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,2021-01-07T00:00:00Z,SAMEA7742607,ERP126028,217,38199,99864,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",,,,,,,,,,,,,,,,,,,,,,,,,,Municipal wastewater treatment plant influent,,2020-12-28,2020-12-28,2020-12-21,2020-12-21,SAMEA7742607,United Kingdom,BANGOR UNIVERSITY,Bangor University,2020-12-28T10:57:24Z,2020-12-21T14:25:59Z,public,metagenome,Sample_76-Manchester2WK7(2nd_run_orphan_reads),Sample_76-Manchester2WK7(2nd_run_orphan_reads),Northwest England,,ERS5489960,SARS-CoV-2 amplicon reads from wastewater samples,Manchester,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR5019961,AMPLICON,PRJEB42191,SAMEA7742608,BANGOR UNIVERSITY,2020-05-11,public,ERX4828631,United Kingdom,Europe,Illumina MiSeq,unspecified,SINGLE,RT-PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,2021-01-07T00:00:00Z,SAMEA7742608,ERP126028,208,35227,99511,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",,,,,,,,,,,,,,,,,,,,,,,,,,Municipal wastewater treatment plant influent,,2020-12-28,2020-12-28,2020-12-21,2020-12-21,SAMEA7742608,United Kingdom,BANGOR UNIVERSITY,Bangor University,2020-12-28T10:57:24Z,2020-12-21T14:25:59Z,public,metagenome,Sample_77-Wrexham1WK7(2nd_run_orphan_reads),Sample_77-Wrexham1WK7(2nd_run_orphan_reads),North Wales,,ERS5489961,SARS-CoV-2 amplicon reads from wastewater samples,Wrexham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR5019962,AMPLICON,PRJEB42191,SAMEA7742609,BANGOR UNIVERSITY,2020-05-11,public,ERX4828632,United Kingdom,Europe,Illumina MiSeq,unspecified,SINGLE,RT-PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,2021-01-07T00:00:00Z,SAMEA7742609,ERP126028,222,40634,103439,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",,,,,,,,,,,,,,,,,,,,,,,,,,Municipal wastewater treatment plant influent,,2020-12-28,2020-12-28,2020-12-21,2020-12-21,SAMEA7742609,United Kingdom,BANGOR UNIVERSITY,Bangor University,2020-12-28T10:57:24Z,2020-12-21T14:25:59Z,public,metagenome,Sample_78-Wrexham2WK7(2nd_run_orphan_reads),Sample_78-Wrexham2WK7(2nd_run_orphan_reads),North Wales,,ERS5489962,SARS-CoV-2 amplicon reads from wastewater samples,Wrexham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR5019963,AMPLICON,PRJEB42191,SAMEA7742610,BANGOR UNIVERSITY,2020-05-11,public,ERX4828633,United Kingdom,Europe,Illumina MiSeq,unspecified,SINGLE,RT-PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,2021-01-07T00:00:00Z,SAMEA7742610,ERP126028,223,33347,100462,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",,,,,,,,,,,,,,,,,,,,,,,,,,Municipal wastewater treatment plant influent,,2020-12-28,2020-12-28,2020-12-21,2020-12-21,SAMEA7742610,United Kingdom,BANGOR UNIVERSITY,Bangor University,2020-12-28T10:57:24Z,2020-12-21T14:25:59Z,public,metagenome,Sample_79-Liverpool1WK7(2nd_run_orphan_reads),Sample_79-Liverpool1WK7(2nd_run_orphan_reads),Northwest England,,ERS5489963,SARS-CoV-2 amplicon reads from wastewater samples,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR5019964,AMPLICON,PRJEB42191,SAMEA7742611,BANGOR UNIVERSITY,2020-05-11,public,ERX4828634,United Kingdom,Europe,Illumina MiSeq,unspecified,SINGLE,RT-PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,2021-01-07T00:00:00Z,SAMEA7742611,ERP126028,232,35280,98914,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",,,,,,,,,,,,,,,,,,,,,,,,,,Municipal wastewater treatment plant influent,,2020-12-28,2020-12-28,2020-12-21,2020-12-21,SAMEA7742611,United Kingdom,BANGOR UNIVERSITY,Bangor University,2020-12-28T10:57:24Z,2020-12-21T14:25:59Z,public,metagenome,Sample_80-Liverpool2WK7(2nd_run_orphan_reads),Sample_80-Liverpool2WK7(2nd_run_orphan_reads),Northwest England,,ERS5489964,SARS-CoV-2 amplicon reads from wastewater samples,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR5019965,AMPLICON,PRJEB42191,SAMEA7742612,BANGOR UNIVERSITY,2020-05-11,public,ERX4828635,United Kingdom,Europe,Illumina MiSeq,unspecified,SINGLE,RT-PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,2021-01-07T00:00:00Z,SAMEA7742612,ERP126028,200,38035,101124,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",,,,,,,,,,,,,,,,,,,,,,,,,,Municipal wastewater treatment plant influent,,2020-12-28,2020-12-28,2020-12-21,2020-12-21,SAMEA7742612,United Kingdom,BANGOR UNIVERSITY,Bangor University,2020-12-28T10:57:24Z,2020-12-21T14:25:59Z,public,metagenome,Sample_81-TheWirral1WK7(2nd_run_orphan_reads),Sample_81-TheWirral1WK7(2nd_run_orphan_reads),Northwest England,,ERS5489965,SARS-CoV-2 amplicon reads from wastewater samples,The Wirral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR5019966,AMPLICON,PRJEB42191,SAMEA7742613,BANGOR UNIVERSITY,2020-05-11,public,ERX4828636,United Kingdom,Europe,Illumina MiSeq,unspecified,SINGLE,RT-PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,2021-01-07T00:00:00Z,SAMEA7742613,ERP126028,219,38840,102100,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",,,,,,,,,,,,,,,,,,,,,,,,,,Municipal wastewater treatment plant influent,,2020-12-28,2020-12-28,2020-12-21,2020-12-21,SAMEA7742613,United Kingdom,BANGOR UNIVERSITY,Bangor University,2020-12-28T10:57:24Z,2020-12-21T14:25:59Z,public,metagenome,Sample_82-TheWirral2WK7(2nd_run_orphan_reads),Sample_82-TheWirral2WK7(2nd_run_orphan_reads),Northwest England,,ERS5489966,SARS-CoV-2 amplicon reads from wastewater samples,The Wirral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR5019967,AMPLICON,PRJEB42191,SAMEA7742614,BANGOR UNIVERSITY,2020-05-11,public,ERX4828637,United Kingdom,Europe,Illumina MiSeq,unspecified,SINGLE,RT-PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,2021-01-07T00:00:00Z,SAMEA7742614,ERP126028,238,67260,114503,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",,,,,,,,,,,,,,,,,,,,,,,,,,Municipal wastewater treatment plant influent,,2020-12-28,2020-12-28,2020-12-21,2020-12-21,SAMEA7742614,United Kingdom,BANGOR UNIVERSITY,Bangor University,2020-12-28T10:57:24Z,2020-12-21T14:25:59Z,public,metagenome,Sample_83-Gwynedd1WK7(2nd_run_orphan_reads),Sample_83-Gwynedd1WK7(2nd_run_orphan_reads),North Wales,,ERS5489967,SARS-CoV-2 amplicon reads from wastewater samples,Gwynedd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR5019968,AMPLICON,PRJEB42191,SAMEA7742615,BANGOR UNIVERSITY,2020-05-11,public,ERX4828638,United Kingdom,Europe,Illumina MiSeq,unspecified,SINGLE,RT-PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,2021-01-07T00:00:00Z,SAMEA7742615,ERP126028,229,43347,106764,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",,,,,,,,,,,,,,,,,,,,,,,,,,Municipal wastewater treatment plant influent,,2020-12-28,2020-12-28,2020-12-21,2020-12-21,SAMEA7742615,United Kingdom,BANGOR UNIVERSITY,Bangor University,2020-12-28T10:57:24Z,2020-12-21T14:25:59Z,public,metagenome,Sample_84-Gwynedd2WK7(2nd_run_orphan_reads),Sample_84-Gwynedd2WK7(2nd_run_orphan_reads),North Wales,,ERS5489968,SARS-CoV-2 amplicon reads from wastewater samples,Gwynedd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR5019969,AMPLICON,PRJEB42191,SAMEA7742616,BANGOR UNIVERSITY,2020-03-30/2020-05-12,public,ERX4828639,United Kingdom,Europe,Illumina MiSeq,unspecified,SINGLE,RT-PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,2021-01-07T00:00:00Z,SAMEA7742616,ERP126028,34,998,82782,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",,,,,,,,,,,,,,,,,,,,,,,,,,Municipal wastewater treatment plant influent,,2020-12-28,2020-12-28,2020-12-21,2020-12-21,SAMEA7742616,United Kingdom,BANGOR UNIVERSITY,Bangor University,2020-12-28T10:57:24Z,2020-12-21T14:25:59Z,public,metagenome,Sample_negative_control(2nd_run_orphan_reads),Sample_negative_control(2nd_run_orphan_reads),UK,,ERS5489969,SARS-CoV-2 amplicon reads from wastewater samples,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
